Codigo,Nombre
13657,DIRECCION MUNICIPAL DE SALUD DE SAN JUAN NEPOMUCENO
13667,DIRECCION MUNICIPAL DE SALUD DE SAN MARTIN DE LOBA
13670,DIRECCION MUNICIPAL DE SALUD DE SAN PABLO
13673,DIRECCION MUNICIPAL DE SALUD DE SANTA CATALINA
13683,DIRECCION MUNICIPAL DE SALUD DE SANTA ROSA
13688,DIRECCION MUNICIPAL DE SALUD DE SANTA ROSA DEL SUR
13-7,ASEG COMPAÑIA AGRICOLA DE SEGUROS S.A.
13744,DIRECCION MUNICIPAL DE SALUD DE SIMITI
13760,DIRECCION MUNICIPAL DE SALUD DE SOPLAVIENTO
13780,DIRECCION MUNICIPAL DE SALUD DE TALAIGUA NUEVO
13-8,"ASEG COMPAÑIA ASEGURADORA DE FIANZAS SA, CONFIANZA (VER NOVEDADES 2000"
13810,DIRECCION MUNICIPAL DE SALUD DE TIQUISIO
13836,DIRECCION MUNICIPAL DE SALUD DE TURBACO
13838,DIRECCION MUNICIPAL DE SALUD DE TURBANA
13873,DIRECCION MUNICIPAL DE SALUD DE VILLANUEVA
13894,DIRECCION MUNICIPAL DE SALUD DE ZAMBRANO
13-9,CENTRAL DE SEGUROS
14-1,ASEG DE VIDA COLSEGUROS S.A.
14-10,ASEG GENERALI COLOMBIA VIDA COMPAÑIA DE SEGUROS S.A.
14-11,ASEG SURAMERICANA DE SEGUROS DE VIDA S.A.
14-13,ASEG AIG COLOMBIA SEGUROS DE VIDA S.A
14-14,ASEG CYBERSEGUROS DE COLOMBIA SA (ANTES LA NACIONAL COMPAÑIA DE SEGUROS DE VIDA SA)
14-15,ASEG MUNDIAL DE SEGUROS DE VIDA SA
14-16,ASEG PAN AMERICAN DE COLOMBIA COMPAÑIA DE SEGUROS DE VIDA S.A.
14-17,SEGUROS DE VIDA ALFA S.A. VIDALFA S.A.
14-18,LIBERTY SEGUROS DE VIDA SA
14-19,ASEG SEGUROS DE VIDA DEL ESTADO S.A.
14-20,GLOBAL SEGUROS
14-23,POSITIVA COMPAÑIA DE SEGUROS SA
14-25,COMPAÑIA DE SEGUROS DE VIDA COLMENA S.A.
14-26,ASEG BBV SEGUROS GANADERO COMPAÑIA DE SEGUROS DE VIDA SA LA GANADERA ADMINISTRADORA DE RIESGOS PROFESIONALES
14-27,ASEG COMPAÑIA CENTRAL DE SEGUROS DE VIDA SA
14-28,SEGUROS DE RIESGOS LABORALES SURAMERICANA S.A.
14-29,LA EQUIDAD SEGUROS DE VIDA
14-30,MAPFRE COLOMBIA VIDA SEGUROS S A
14-4,AXA COLPATRIA SEGUROS DE VIDA S.A
14-5,ASEG COMPAÑIA AGRICOLA DE SEGUROS DE VIDA SA
14-7,COMPAÑIA DE SEGUROS BOLIVAR S.A.
14-8,COMPANIA DE SEGUROS DE VIDA AURORA S A
15000,DIRECCION DE DEPARTAMENTAL DE BOYACA
15001,DIRECCION MUNICIPAL DE SALUD DE TUNJA
15022,DIRECCION MUNICIPAL DE SALUD DE ALMEIDA
15047,DIRECCION MUNICIPAL DE SALUD DE AQUITANIA
15051,DIRECCION MUNICIPAL DE SALUD DE ARCABUCO
15087,DIRECCION MUNICIPAL DE SALUD DE BELEN
15090,DIRECCION MUNICIPAL DE SALUD DE BERBEO
15092,DIRECCION MUNICIPAL DE SALUD DE BETEITIVA
15097,DIRECCION MUNICIPAL DE SALUD DE BOAVITA
15-1,LA EQUIDAD SEGUROS GENERALES
15104,DIRECCION MUNICIPAL DE SALUD DE BOYACA
15106,DIRECCION MUNICIPAL DE SALUD DE BRICEÑO
15109,DIRECCION MUNICIPAL DE SALUD DE BUENAVISTA
15114,DIRECCION MUNICIPAL DE SALUD DE BUSBANZA
15131,DIRECCION MUNICIPAL DE SALUD DE CALDAS
15135,DIRECCION MUNICIPAL DE SALUD DE CAMPOHERMOSO
15162,DIRECCION MUNICIPAL DE SALUD DE CERINZA
15172,DIRECCION MUNICIPAL DE SALUD DE CHINAVITA
15176,DIRECCION MUNICIPAL DE SALUD DE CHIQUINQUIRA
15180,DIRECCION MUNICIPAL DE SALUD DE CHISCAS
15183,DIRECCION MUNICIPAL DE SALUD DE CHITA
15185,DIRECCION MUNICIPAL DE SALUD DE CHITARAQUE
15187,DIRECCION MUNICIPAL DE SALUD DE CHIVATA
15189,DIRECCION MUNICIPAL DE SALUD DE CIENEGA
15-2,ASEG SOLIDARIA DE COLOMBIA LTDA ENTIDAD COOPERATIVA SOLIDARIA
15204,DIRECCION MUNICIPAL DE SALUD DE COMBITA
15212,DIRECCION MUNICIPAL DE SALUD DE COPER
15215,DIRECCION MUNICIPAL DE SALUD DE CORRALES
15218,DIRECCION MUNICIPAL DE SALUD DE COVARACHIA
15223,DIRECCION MUNICIPAL DE SALUD DE CUBARA
15224,DIRECCION MUNICIPAL DE SALUD DE CUCAITA
15226,DIRECCION MUNICIPAL DE SALUD DE CUITIVA
15232,DIRECCION MUNICIPAL DE SALUD DE CHIQUIZA
15236,DIRECCION MUNICIPAL DE SALUD DE CHIVOR
15238,DIRECCION MUNICIPAL DE SALUD DE DUITAMA
15244,DIRECCION MUNICIPAL DE SALUD DE EL COCUY
15248,DIRECCION MUNICIPAL DE SALUD DE EL ESPINO
15272,DIRECCION MUNICIPAL DE SALUD DE FIRAVITOBA
15276,DIRECCION MUNICIPAL DE SALUD DE FLORESTA
15293,DIRECCION MUNICIPAL DE SALUD DE GACHANTIVA
15296,DIRECCION MUNICIPAL DE SALUD DE GAMEZA
15299,DIRECCION MUNICIPAL DE SALUD DE GARAGOA
15317,DIRECCION MUNICIPAL DE SALUD DE GUACAMAYAS
15322,DIRECCION MUNICIPAL DE SALUD DE GUATEQUE
15325,DIRECCION MUNICIPAL DE SALUD DE GUAYATA
15332,DIRECCION MUNICIPAL DE SALUD DE GUICAN
15362,DIRECCION MUNICIPAL DE SALUD DE IZA
15367,DIRECCION MUNICIPAL DE SALUD DE JENESANO
15368,DIRECCION MUNICIPAL DE SALUD DE JERICO
15377,DIRECCION MUNICIPAL DE SALUD DE LABRANZAGRANDE
15380,DIRECCION MUNICIPAL DE SALUD DE LA CAPILLA
15401,DIRECCION MUNICIPAL DE SALUD DE LA VICTORIA
15403,DIRECCION MUNICIPAL DE SALUD DE LA UVITA
15407,DIRECCION MUNICIPAL DE SALUD DE VILLA DE LEYVA
15425,DIRECCION MUNICIPAL DE SALUD DE MACANAL
15442,DIRECCION MUNICIPAL DE SALUD DE MARIPI
15455,DIRECCION MUNICIPAL DE SALUD DE MIRAFLORES
15464,DIRECCION MUNICIPAL DE SALUD DE MONGUA
15466,DIRECCION MUNICIPAL DE SALUD DE MONGUI
15469,DIRECCION MUNICIPAL DE SALUD DE MONIQUIRA
15476,DIRECCION MUNICIPAL DE SALUD DE MOTAVITA
15480,DIRECCION MUNICIPAL DE SALUD DE MUZO
15491,DIRECCION MUNICIPAL DE SALUD DE NOBSA
15494,DIRECCION MUNICIPAL DE SALUD DE NUEVO COLON
15500,DIRECCION MUNICIPAL DE SALUD DE OICATA
15507,DIRECCION MUNICIPAL DE SALUD DE OTANCHE
15511,DIRECCION MUNICIPAL DE SALUD DE PACHAVITA
15514,DIRECCION MUNICIPAL DE SALUD DE PAEZ
15516,DIRECCION MUNICIPAL DE SALUD DE PAIPA
15518,DIRECCION MUNICIPAL DE SALUD DE PAJARITO
15522,DIRECCION MUNICIPAL DE SALUD DE PANQUEBA
15531,DIRECCION MUNICIPAL DE SALUD DE PAUNA
15533,DIRECCION MUNICIPAL DE SALUD DE PAYA
15537,DIRECCION MUNICIPAL DE SALUD DE PAZ DE RIO
15542,DIRECCION MUNICIPAL DE SALUD DE PESCA
15550,DIRECCION MUNICIPAL DE SALUD DE PISBA
15572,DIRECCION MUNICIPAL DE SALUD DE PUERTO BOYACA
15580,DIRECCION MUNICIPAL DE SALUD DE QUIPAMA
15599,DIRECCION MUNICIPAL DE SALUD DE RAMIRIQUI
15600,DIRECCION MUNICIPAL DE SALUD DE RAQUIRA
15621,DIRECCION MUNICIPAL DE SALUD DE RONDON
15632,DIRECCION MUNICIPAL DE SALUD DE SABOYA
15638,DIRECCION MUNICIPAL DE SALUD DE SACHICA
15646,DIRECCION MUNICIPAL DE SALUD DE SAMACA
15660,DIRECCION MUNICIPAL DE SALUD DE SAN EDUARDO
15664,DIRECCION MUNICIPAL DE SALUD DE SAN JOSE DE PARE
15667,DIRECCION MUNICIPAL DE SALUD DE SAN LUIS DE GACENO
15673,DIRECCION MUNICIPAL DE SALUD DE SAN MATEO
15676,DIRECCION MUNICIPAL DE SALUD DE SAN MIGUEL DE SEMA
15681,DIRECCION MUNICIPAL DE SALUD DE SAN PABLO BORBUR
15686,DIRECCION MUNICIPAL DE SALUD DE SANTANA
15690,DIRECCION MUNICIPAL DE SALUD DE SANTA MARIA
15693,DIRECCION MUNICIPAL DE SALUD DE SAN ROSA VITERBO
15696,DIRECCION MUNICIPAL DE SALUD DE SANTA SOFIA
15720,DIRECCION MUNICIPAL DE SALUD DE SATIVANORTE
15723,DIRECCION MUNICIPAL DE SALUD DE SATIVASUR
15740,DIRECCION MUNICIPAL DE SALUD DE SIACHOQUE
15753,DIRECCION MUNICIPAL DE SALUD DE SOATA
15755,DIRECCION MUNICIPAL DE SALUD DE SOCOTA
15757,DIRECCION MUNICIPAL DE SALUD DE SOCHA
15759,DIRECCION MUNICIPAL DE SALUD DE SOGAMOSO
15761,DIRECCION MUNICIPAL DE SALUD DE SOMONDOCO
15762,DIRECCION MUNICIPAL DE SALUD DE SORA
15763,DIRECCION MUNICIPAL DE SALUD DE SOTAQUIRA
15764,DIRECCION MUNICIPAL DE SALUD DE SORACA
15774,DIRECCION MUNICIPAL DE SALUD DE SUSACON
15776,DIRECCION MUNICIPAL DE SALUD DE SUTAMARCHAN
15778,DIRECCION MUNICIPAL DE SALUD DE SUTATENZA
15790,DIRECCION MUNICIPAL DE SALUD DE TASCO
15798,DIRECCION MUNICIPAL DE SALUD DE TENZA
15804,DIRECCION MUNICIPAL DE SALUD DE TIBANA
15806,DIRECCION MUNICIPAL DE SALUD DE TIBASOSA
15808,DIRECCION MUNICIPAL DE SALUD DE TINJACA
15810,DIRECCION MUNICIPAL DE SALUD DE TIPACOQUE
15814,DIRECCION MUNICIPAL DE SALUD DE TOCA
15816,DIRECCION MUNICIPAL DE SALUD DE TOGUI
15820,DIRECCION MUNICIPAL DE SALUD DE TOPAGA
15822,DIRECCION MUNICIPAL DE SALUD DE TOTA
15832,DIRECCION MUNICIPAL DE SALUD DE TUNUNGUA
15835,DIRECCION MUNICIPAL DE SALUD DE TURMEQUE
15837,DIRECCION MUNICIPAL DE SALUD DE TUTA
15839,DIRECCION MUNICIPAL DE SALUD DE TUTAZA
15842,DIRECCION MUNICIPAL DE SALUD DE UMBITA
15861,DIRECCION MUNICIPAL DE SALUD DE VENTAQUEMADA
15879,DIRECCION MUNICIPAL DE SALUD DE VIRACACHA
15897,DIRECCION MUNICIPAL DE SALUD DE ZETAQUIRA
17000,DIRECCION DEPARTAMENTAL DE CALDAS
17001,DIRECCION MUNICIPAL DE SALUD DE MANIZALES
17013,DIRECCION MUNICIPAL DE SALUD DE AGUADAS
17042,DIRECCION MUNICIPAL DE SALUD DE ANSERMA
17050,DIRECCION MUNICIPAL DE SALUD DE ARANZAZU
17088,DIRECCION MUNICIPAL DE SALUD DE BELALCAZAR
17174,DIRECCION MUNICIPAL DE SALUD DE CHINCHINA
17272,DIRECCION MUNICIPAL DE SALUD DE FILADELFIA
17380,DIRECCION MUNICIPAL DE SALUD DE LA DORADA
17388,DIRECCION MUNICIPAL DE SALUD DE LA MERCED
17433,DIRECCION MUNICIPAL DE SALUD DE MANZANARES
